,movieID,movieName
0,1,Toy Story (1995)
1,2,Jumanji (1995)
2,3,Grumpier Old Men (1995)
3,4,Waiting to Exhale (1995)
4,5,Father of the Bride Part II (1995)
5,6,Heat (1995)
6,7,Sabrina (1995)
7,8,Tom and Huck (1995)
8,9,Sudden Death (1995)
9,10,GoldenEye (1995)
10,11,"American President, The (1995)"
11,12,Dracula: Dead and Loving It (1995)
12,13,Balto (1995)
13,14,Nixon (1995)
14,15,Cutthroat Island (1995)
15,16,Casino (1995)
16,17,Sense and Sensibility (1995)
17,18,Four Rooms (1995)
18,19,Ace Ventura: When Nature Calls (1995)
19,20,Money Train (1995)
